id,smiles
A0113,FC(F)(F)[N-]C(F)(F)F
A0114,S(=O)(=O)(OCCCCCCCC)[O-]
A0115,c1ccc2O[B-]3(Oc2c1)Oc1ccccc1O3
A0116,O=C(C(F)(F)F)[CH-]C(=O)C
A0117,C(#N)[B-](C#N)(C#N)C#N
A0118,FC(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F
A0120,OCC(=O)[O-]
A0121,OC(C(=O)[O-])C
A0122,[OH-]
A0123,CC(CP([O-])(=O)CC(CC(C)(C)C)C)CC(C)(C)C
A0124,C(CCCCCCCCC)(=O)[O-]
A0126,N#C[C-](C(=C(C#N)C#N)C#N)C#N
A0127,N#C[C-](C=C(C#N)C#N)C#N
A0128,N#CCC(=C(C#N)C#N)[C-](C#N)C#N
A0129,N#C[C-](C(=C(C#N)C#N)OC)C#N
A0130,N#C[C-](C(=C(C#N)C#N)C)C#N
A0131,[O-]C(=O)COc1ccc2c(c1)cccc2
A0132,[O-]C(=O)CCC1CCCCC1
A0133,[O-]C(=O)[C@@]1(N=NC=N1)[N+](=O)[O-]
A0134,[O-]C(=O)[C@@H](N)C
A0135,[O-]C(=O)c1c2ccccc2cc2c1cccc2
A0136,[O-]C(=O)C1CCCCC1
A0137,[O-]C(=O)CC1CCCC1
A0138,[O-]C(=O)C1CCCC1
A0140,F[B-](CC)(F)F
A0141,[O-]C(=O)CN
A0142,NCCCC[C@@H](C(=O)[O-])N
A0143,C[B-](F)(F)F
A0144,[O-]S(=O)(=O)c1ccc2c(c1)OCCOCCOCCOCCO2
A0145,[O-]C(=O)c1ccccc1O
A0146,[O-]C(=O)[C@H](CO)N
A0147,FC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(C(c1ccc(cc1)[B-](c1ccc(cc1)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(c1ccc(cc1)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)c1ccc(cc1)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F
A0148,F[B-](c1ccccc1)(F)F
A0151,F[B-](C=C)(F)F
A0152,[O-]c1ccccc1
A0153,[O-]c1ccc(cc1)C
A0154,COc1ccc(cc1)[O-]
A0155,[O-]c1ccc(cc1)F
A0156,FC(C(=O)[O-])F
A0157,[O-]C(=O)CCC
A0158,CCCCCC(=O)[O-]
A0159,CCCCCCCC(=O)[O-]
A0160,CCCCCCCCCCCCCCCC(=O)[O-]
A0161,[O-]C(=O)C(C)(C)C
A0162,[O-]C(=O)C1CC1
A0163,[O-]C(=S)C
A0168,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
A0169,CCCCCCCC[Si](c1ccc(cc1)[B-](c1ccc(cc1)[Si](CCCCCCCC)(C)C)(c1ccc(cc1)[Si](CCCCCCCC)(C)C)c1ccc(cc1)[Si](CCCCCCCC)(C)C)(C)C
A0170,FC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(CC[Si](c1ccc(cc1)[B-](c1ccc(cc1)[Si](CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(C)C)(c1ccc(cc1)[Si](CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(C)C)c1ccc(cc1)[Si](CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(C)C)(C)C)F
A0173,[O-]C(=O)/C=C/C
A0174,[O-]C(=O)c1ccccc1S
A0175,Cc1ccccc1S(=O)(=O)[O-]
A0178,[S-]C(=S)OC
A0179,N1=C[N-]C2=C1C=CC=C2
A0180,BrC=1C=CC2=C(N=C[N-]2)C1
A0181,CSC=1[N-]C2=C(N1)C=CC=C2
A0182,C(#N)C=1[N-]C=CC1
A0183,[N-]1C=NC=C1
A0184,C[C@@H](O)[C@H](N)C([O-])=O
A0185,[O-]C(=O)[C@H](N)C
A0186,[O-]C(=O)C(C(C(F)(F)F)(F)F)(F)F
A0187,CCCCCCCCCCCCc1ccccc1S(=O)(=O)[O-]
A0188,[O-]C(=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
A0189,COP(=O)(OC)[O-]
A0190,CCCC[C@H](COC(=O)[C@H](S(=O)(=O)[O-])C(=O)OC[C@H](CCCC)CC)CC
A0191,[O-]C(=O)CNCC(=O)O
A0193,CC[C@@H]([C@@H](C(=O)[O-])N)C
A0194,CC(C(=O)[O-])C
A0195,[O-]C(=O)CCC(=O)C
A0196,O=[S@](C(F)(F)F)C[C-](O[S@@](=O)C(F)(F)F)C[S@@](=O)C(F)(F)F
A0197,[O-][P@H](=O)OC
A0198,C[C@@H](C[P@@](=O)(C[C@@H](CC(C)(C)C)C)[O-])CC(C)(C)C
A0199,[O-]C(=O)CC
A0200,[O-]C(=O)CNC
A0201,[O-]C(=O)CCC(=O)N
A0202,NCCS(=O)(=O)[O-]
A0203,FC(C(S(=O)(=O)[O-])(F)F)F
A0204,[O-]c1ccc(cc1)[N+](=O)[O-]
A0205,[n-]1ccnn1
A0206,[C-]1=NN=NN1
A0207,FC(C(C(C(C(C(S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
