id,smiles
C0087,CC(C(=O)c1ccc(cc1)c1ccccc1)n1cc[n+](c1)C(C(=O)c1ccc(cc1)c1ccccc1)C
C0088,N#CCCCn1cc[n+](c1)CCCC#N
C0089,COC(=O)C[n+]1c(N)n(c2c1cccc2)C
C0090,CCOC(=O)C[n+]1cn(c2c1cccc2)Cc1ccccc1
C0091,CC([N+](C)(C)C)C
C0092,N#CCC[n+]1cc(C)cc(c1)C
C0093,O=N(=O)c1ccc(cc1)c1n(C)c2c([n+]1C)cc(cc2)N(=O)=O
C0094,CCCCCCCC[NH+]1C=CN(C1)CCCP(=O)(OCC)OCC
C0095,CCc1n(O)cc[n+]1CC(=O)c1ccc(cc1)Cl
C0096,FC(CC[n+]1ccc(cc1)c1ccncc1)(F)F
C0097,C=CCn1cc[n+](c1)CC#C
C0099,CCCCCCCC[N+](CO[C@@H]1C[C@H](C)CC[C@H]1C(C)C)(C)C
C0100,COc1ccc(cc1)C(=O)C[N+](CC(=O)C)(C)C
C0101,CCC(C(C(=O)OC)[NH3+])C
C0102,CC(=O)OCCCC[n+]1cccc(c1)O
C0103,C[N+]1(C)CCCCC1
C0104,CCn1c[n+](c2c1cc(C)c(c2)C)CC(=O)c1ccc(cc1)N(=O)=O
C0105,CC[n+]1ccn(c1)CCc1ccccc1
C0106,ON=CC[n+]1cc[nH]c1C1OCCO1
C0107,CCOC(=O)CCCn1c(C)[n+](c2c1cccc2)Cc1ccccc1
C0108,CC(=O)C[n+]1ccccc1C
C0109,OC(=O)C=C[n+]1ccccc1
C0110,CCCCCCCC[n+]1c2cc(Cl)c(cc2n(c1C)CCCCC(=O)O)Cl
C0111,CCOC(=O)C[n+]1c(N)n(c2c1cccc2)C
C0112,CCN(CCn1c(C)[n+](c2c1cccc2)CC(=O)c1ccc(cc1)N(=O)=O)CC
C0113,CCCC(C[N+](C)(C)C)OC
C0114,C[Si](CCCn1c[n+](c2c1cccc2)Cc1ccccc1)(C)C
C0115,Cc1n(cc[n+]1Cc1ccccc1)CCC(c1ccccc1)(c1ccccc1)C(=O)N
C0116,O=CCC[n+]1c(C)n(c2c1cc(Cl)c(c2)Cl)CC
C0117,CCCCCCCCCCC[n+]1ccn(c1)c1c(C)cc(cc1C)C
C0118,Cc1ccc(cc1)[N+](C(c1ccccc1)C)(C)C
C0119,Cc1ccc(cc1)C[n+]1ccn(c1C)CCC(c1ccccc1)(c1ccccc1)C(=O)N
C0120,COc1ccc(cc1CC[n+]1ccccc1)OC
C0121,CCCCC[N+](CC(=O)OCC)(C)C
C0122,CCC[n+]1ccn(c1)C=C
C0123,O=C(c1ccccc1)C[n+]1c2ccccc2n(c1C)N=Cc1ccccc1
C0124,Oc1ccc(cc1)C[N+](C)(C)C
C0125,[N-]=[N+]=NC1=N[NH+](C=N1)C
C0126,Cn1cc[n+](c1)CC(=O)c1ccccc1C
C0127,CCCCCCCC[n+]1c(C)n(c2c1cc(Cl)c(c2)Cl)CCC(=O)O
C0128,CCCCC(C[N+](C)(C)C)OCC
C0129,COCC[N+](Cc1ccccc1)(C)C
C0130,CCCCCCCCCCCCCCCCCCCC[n+]1ccn(c1)C
C0131,C#CC[n+]1ccc(cc1)C
